dataset,method,threshold_type,params,train_fp_rate,precision,recall,f1_score,f05
taxi_df,static,static_quantile,,0.40020000000000006,0.41429369067560023,0.40859030837004406,0.41,0.41314031180400895
ambient_temp_df,static,static_quantile,,0.4004,0.4304878048780488,0.5544502617801047,0.48,0.4506382978723404
cpu_df,static,static_quantile,,0.40020000000000006,0.8622386223862238,0.7489316239316239,0.8,0.8369149952244508
taxi_df,zscore_method,z_score,threshold = 2.0,0.001,0.01786711334450028,0.6808510638297872,0.03,0.02218832339481348
ambient_temp_df,zscore_method,z_score,threshold = 2.0,0.0438,0.11463414634146342,0.373015873015873,0.18,0.1330690826727067
cpu_df,zscore_method,z_score,threshold = 2.0,0.0642,0.16851168511685116,1.0,0.29,0.20212452050752433
taxi_df,stl_zscore,stl_zscore,threshold = 2.0,0.08259999999999999,0.0943606923506421,0.41935483870967744,0.15,0.11166908946742433
ambient_temp_df,stl_zscore,stl_zscore,threshold = 2.0,0.0513,0.06056910569105691,0.45426829268292684,0.11,0.0732690794649882
cpu_df,stl_zscore,stl_zscore,threshold = 2.0,0.022799999999999997,0.32226322263222634,0.9961977186311787,0.49,0.37268847795163584
